name,stack_size,description,drop_level
A Chilling Wind,4,Level 21 Vaal Cold Snap Quality: +20% Corrupted,72
A Dab of Ink,9,The Poet's Pen,23
A Dusty Memory,5,Item Item Level: 100 Fractured,81
A Familiar Callhttps,3,Jewellery of Farrul Item Level: 100 Shaper + Hunter Item,81
A Fate Worse Than Death,4,Cortex Corrupted,81
A Modest Request,3,Megalomaniac Corrupted,68
A Mother's Parting Gift,6,Fertile Mind Corrupted,23
A Note in the Wind,4,Asenath's Mark,23
A Sea of Blue,3,13x Orb of Alteration,23
A Stone Perfected,5,Jewel Primordial 1-2 Implicit Corrupted,80
Abandoned Wealth,5,3x Exalted Orb,35
Acclimatisation,2,20x Orb of Alteration,23
Akil's Prophecy,3,Elegant Round Shield Two-Implicit Corrupted,70
Alivia's Grace,6,Queen of the Forest,59
Alluring Bounty,7,10x Exalted Orb,35
Alone in the Darkness,5,Delve Item,34
Altered Perception,3,Simulacrum,68
Ambitious Obsession,4,Skittering Delirium Orb,68
Anarchy's Price,13,Voltaxic Rift Corrupted,64
Arrogance of the Vaal,8,Item Two-Implicit Corrupted,54
Assassin's Favour,9,Dagger,23
Assassin's Gift,9,Divinarius Two-Implicit Corrupted,66
Astral Protectionhttps,5,Shield Shaper Item,68
Atziri's Arsenal,4,Weapon Corrupted,23
Audacity,5,Doryani's Fist Corrupted,69
Auspicious Ambitions,4,Experimented Item Item Level: 100 Double-Influenced Item,81
Avian Pursuit,3,"1,500x Vivid Crystallised Lifeforce",68
Azure Rage,4,Punishing Map Map Tier: 16,81
Azyran's Reward,9,Prismatic Jewel Corrupted,80
Baited Expectations,8,Fishing Item,23
Beauty Through Death,5,Atziri's Reflection,80
Bijoux,3,Cluster Jewel Item Level: 84,81
Blind Venture,7,Ring Corrupted,23
Boon of Justice,6,Offering to the Goddess,73
Boon of the First Ones,6,Bestiary Item,68
Boundless Realms,4,Map,58
Bowyer's Dream,6,Six-Link Harbinger Bow Item Level: 91,81
Broken Promises,2,Diamond Ring Item Level: 87 Two-Implicit Synthesised,81
Broken Truce,5,Cold Iron Point,62
Brother's Gift,1,5x Divine Orb,35
Brother's Stash,1,5x Exalted Orb,35
Brotherhood in Exile,5,One With Nothing Corrupted,68
Brush,5,The Artist,68
Buried Treasure,3,Sulphite Scarab,68
Burning Blood,6,Xoph's Blood Corrupted,81
Call to the First Ones,5,Tier 1 Talisman Corrupted,23
Cameria's Cut,2,Scarab,68
Cartographer's Delight,3,Map Map Tier: 5,68
Chaotic Disposition,1,5x Chaos Orb,23
Chasing Risk,4,Synthesis Item,81
Checkmate,8,76x Simulacrum Splinter,68
Choking Guilt,6,Stranglegasp,80
Costly Curio,6,Item Double-Influenced Item,81
Council of Cats,4,Farrul Item,80
Coveted Possession,9,5x Regal Orb,23
Cursed Words,13,Maw of Mischief,68
Damnation,16,The Original Scripture Item Level: 83,81
Dark Dreamshttps,4,Bone Helmet Elder Item,73
Dark Temptation,5,Obliteration,59
Darker Half,3,5x Eldritch Chaos Orb,81
Deadly Joy,6,Torrent's Reclamation Two-Implicit Corrupted,81
Death,4,Mon'tregul's Grasp,68
Deathly Designs,7,Level 21 Trap Gem Quality: +23% Corrupted,72
Dementophobia,11,10x Delirium Orb,68
Demigod's Wager,7,Orb of Annulment,35
Desecrated Virtue,9,Level 6 Awakened Support Gem Quality: +23% Corrupted,81
Desperate Crusade,3,Prism Guardian,68
Destined to Crumble,5,Body Armour Item Level: 100,81
Dialla's Subjugation,7,Support Gem Quality: +23% Corrupted,23
Disdain,5,Delirium Orb,68
Divine Beauty,12,7x Divine Orb,35
Divine Justice,1,Grand Spectrum Corrupted,68
Doedre's Madness,9,Doedre Item,23
Doryani's Epiphany,3,Level 21 Transfigured Gem Quality: +20% Corrupted,72
Draped in Dreams,5,Six-Link Astral Plate Item Level: 100 Influenced Item,81
Duality,2,Body Armour Item Level: 100 Double-Influenced Item,81
Dying Anguish,8,Level 19 Transfigured Gem Quality: +19%,68
Dying Lighthttps,10,Diamond Ring Item Level: 100 Shaper + Elder Item,81
Earth Drinker,5,Granite Flask,27
Echoes of Love,3,Fidelitas' Spike Two-Implicit Corrupted,54
Eldritch Perfection,4,Item Item Level: 100 Perfect Eldritch Implicit Modifier,81
Emperor of Purity,7,Six-Link Holy Chainmail Item Level: 60,60
Emperor's Luck,5,5x Currency,23
Endless Night,7,Maloney's Mechanism,68
Etched in Blood,9,Rigwald's Quills Two-Implicit Corrupted,77
Eternal Bonds,4,Replica Cortex,81
Ever-Changing,3,10x Orb of Unmaking,68
Fateful Meeting,9,League-Specific Item Double-Influenced Item Item Level: 97 Two-Implicit Corrupted,81
Father's Lovehttps,2,Sublime Vision,81
Fire Of Unknown Origin,7,Nimis,81
Forbidden Power,4,Balefire Corrupted,60
Friendship,3,Aul's Uprising,81
From Bone to Ashes,8,Ngamahu's Flame Two-Implicit Corrupted,55
Further Invention,4,Helmet Double-Influenced Item Item Level: 100,81
Gemcutter's Mercy,3,Exceptional Gem,38
Gemcutter's Promise,3,Gem Quality: +20%,23
Gift of Asenath,5,Asenath's Gentle Touch Two-Implicit Corrupted,75
Gift of the Gemling Queen,9,Level 20 Support Gem,70
Glimmer of Hope,8,Gold Ring,50
Grave Knowledge,6,Summon Raging Spirit Quality: +20%,23
Guardian's Challenge,4,Shaper Guardian Map,81
Harmony of Souls,9,9x Shrieking Essence,68
Haunting Shadows,4,Metamorph Item,68
Her Mask,4,Sacrifice Fragment,23
Heterochromia,2,Two-Stone Ring,23
History,5,2x Hinekora's Lock,40
Home,3,Exceptional Gem Quality: +1-20%,38
Hope,5,Prismatic Ring Corrupted,30
House of Mirrors,9,Mirror of Kalandra,80
Hubris,5,Ring,23
Humility,9,Tabula Rasa,23
Hunter's Resolve,8,Bow,23
Hunter's Reward,3,The Taming,30
I See Brothers,2,2x Fracturing Orb,68
Immortal Resolve,6,Six-Linked Body Armour Influenced Item,68
Imperfect Memories,5,Jewellery Item Level: 100 Three-Implicit Synthesised,81
Imperial Legacy,22,Six-Link Imperial Bow Item Level: 100,81
Jack in the Box,4,Item,23
Judging Voices,9,Forbidden Shako,81
Justified Ambition,5,Synthesis Map,81
Keeper's Corruptionhttps,7,Eldritch Bone Helmet (Concentrated Effect) Item Level: 89 Elder Item,81
Lachrymal Necrosis,3,Jewel Implicit Modifier: Corrupted Blood cannot be inflicted on you Corrupted,33
Lantador's Lost Love,7,Two-Stone Ring,23
Last Hope,3,Mortal Hope,68
Last Stand,3,The Surrender,64
Left to Fate,4,Map Map Tier: 16 Unidentified Corrupted,78
Lethean Temptation,6,Nebulis,81
Light and Truth,2,Crystal Sceptre,31
Lingering Remnants,16,Vaal Temple Map Item Level: 83 Corrupted,78
Lonely Warrior,10,Defiance of Destiny,75
Lost Worlds,8,Map Map Tier: 15,78
Love Through Ice,4,Unnatural Instinct Two-Implicit Corrupted,54
Loyalty,5,3x Orb of Fusing,23
Lucky Connections,7,20x Orb of Fusing,23
Lucky Deck,9,10x Stacked Deck,50
Luminous Trove,7,Voices Corrupted,68
Lysah's Respite,6,Agate Amulet Corrupted,23
Magnum Opus,5,Item Item Level: 100 Three-Implicit Synthesised,81
Man With Bear,3,Bestiary Scarab,68
Matryoshka,8,Onyx Amulet Item Level: 85 Quality: +20% Influenced Item Four Anointments Incubating Talisman Item Corrupted,81
Mawr Blaidd,16,Eyes of the Greatwolf,82
Merciless Armament,4,Merciless Two-Hand Weapon Item Level: 100,81
Might is Right,9,Trypanon,40
Misery in Darkness,6,Shroud of the Lightless,71
Mitts,5,Gloves,23
Monochrome,3,Valdo's Puzzle Box,81
More is Never Enough,7,4x Scarab,68
No Traces,9,30x Orb of Scouring,23
Nook's Crownhttps,4,Bone Helmet Item Level: 100 Elder Item,81
Parasitic Passengers,8,10x Incubator Item Level: 84,81
Peaceful Moments,5,Timeless Jewel,68
Perfectionhttps,5,Jewellery Item Level: 100 Shaper Item,81
Poisoned Faith,8,Arakaali's Fang Corrupted,53
Prejudice,7,Item Influenced Item,68
